O3,PM10,PM2.5,PM2.5Diff,DayWeek,Hour,PRS,RAINF,RH,SR,TOUT,WSR,WDV,CONT
10,139,80,51,5,1,725.4,0.01,96,0,3.91,7.2,344,1
7,42,29,20,5,2,725,0.02,96,0,3.81,6.3,341,0
7,23,9,5,5,3,724.4,0,96,0,3.85,5.2,346,0
7,23,14,6,5,5,724,0.01,96,0,3.79,5.6,336,0
5,15,8,2,5,8,724.3,0,96,0.023,3.93,4.8,354,0
7,16,6,11,5,9,724.3,0,96,0.052,4.13,4.2,15,0
10,22,17,1,5,12,722.6,0,96,0.127,6.6,3.2,29,0
12,32,16,3,5,13,721.7,0,95,0.15,6.89,4.8,2,0
14,31,19,16,5,14,721,0,94,0.175,7.43,4.6,47,0
11,50,35,20,5,15,720.8,0,93,0.091,7.15,4,42,0
11,45,15,21,5,16,720.8,0,93,0.091,7.04,2.9,54,0
10,62,36,1,5,17,720.6,0,93,0.014,6.82,4.4,81,0
8,67,37,4,5,18,721,0,93,0.008,6.7,3.7,58,0
6,59,33,23,5,19,721.3,0,94,0.016,6.5,5.6,101,0
5,61,10,4,5,20,721.5,0,94,0.004,5.79,8.2,118,0
5,28,14,8,5,22,721.6,0,95,0,5.09,7.5,103,0
6,23,6,6,5,23,721.5,0,95,0,4.98,7.9,106,0
6,15,12,1,6,0,721.7,0,96,0,4.86,4.1,83,0
5,15,11,1,6,1,721.6,0.01,96,0,4.88,3.7,29,0
6,15,12,7,6,2,721.3,0,96,0,4.76,5,20,0
4,8,5,7,6,6,721.3,0,96,0.011,4.41,3.3,1,0
4,12,12,1,6,8,721.9,0,95,0.043,4.69,3.1,5,0
5,17,13,3,6,9,722.1,0,95,0.073,5.13,2,31,0
10,42,10,4,6,12,720.1,0,91,0.13,7.31,1.8,70,0
10,49,14,38,6,13,718.9,0,88,0.117,7.53,2.6,76,0
8,73,52,26,6,14,718.4,0,87,0.07,7.25,4.4,66,1
7,66,26,4,6,15,718.3,0,89,0.04,6.96,4,58,0
6,72,30,1,6,16,718.1,0,91,0.02,6.61,3.7,55,0
5,62,29,0,6,17,717.9,0,92,0.005,6.52,4.6,103,0
4,62,29,9,6,18,718.1,0,93,0,6.35,5.5,112,0
4,40,20,8,6,19,718.4,0,94,0,6.31,4.6,93,0
4,50,28,12,6,20,719.1,0,94,0,6.27,3.4,68,0
4,47,40,17,6,21,719.2,0.01,95,0,6.23,2,78,0
4,43,23,8,6,22,719.4,0,95,0,6.36,2.8,33,0
4,35,15,3,6,23,719.3,0,95,0,6.43,2.9,29,0
